site,Cr,Co,Ni,Cu,Zn,As,Cd,Pb
S1,9.64,1.81,7.04,18.32,68.64,2.79,0.117,7.05
S1,11.09,4.49,11.49,22.38,75.85,2.95,0.161,12.74
S1,5.12,0.97,3.73,16.44,58.98,2.02,0.062,3.87
S1,9.34,2.28,10.05,20.78,71.2,2.24,0.127,7.08
S1,6.27,1.9,5.7,16.82,67.18,2.7,0.078,6.81
S1,5.95,1.1,4.24,26.84,61.9,2.7,0.088,4
S1,6.93,1.77,5.95,16.2,67.48,2.68,0.069,6.66
S1,8.72,1.93,5.8,22.57,64.8,3.37,0.094,6.7
S1,7.65,1.89,7.57,26.41,73.58,3.17,0.101,7.22
S1,10.73,1.59,9.2,21.14,70.51,2.28,0.105,6.31
S2,4.62,1.25,10.47,14.88,64.14,2.27,0.115,11.24
S2,11.37,1.99,13.66,23.51,77.28,3.71,0.259,25.97
S2,5.96,1.52,8.21,16.54,67.34,4.39,0.12,14.73
S2,4.91,1,5.91,15.52,58.14,3.6,0.098,8.13
S2,5.46,1.52,7.04,24.89,65.67,4.56,0.07,16.72
S2,6.71,1.41,8.38,13.64,69.82,3.1,0.066,9.81
S2,6.74,1.46,7.25,26.44,66.31,6.47,0.095,16.5
S2,6.44,2.34,7.02,20.68,71.11,5.61,0.066,12.63
S2,5.86,1.62,7.25,18.91,67.4,5.86,0.088,19.19
S2,6.56,1.83,8.31,22.64,65.19,6.22,0.113,18.87
S3,50,1.97,25.32,448.71,89.22,3.19,0.093,9.44
S3,22.39,2.15,29.69,212.83,83.34,3.32,0.08,9.21
S3,36.77,1.08,44.72,187.74,82.98,2.07,0.091,3.2
S3,17.78,1.14,15.66,258.98,80.24,2.26,0.055,4.96
S3,28.19,2.93,36.19,161.16,98.42,3.97,0.06,13.62
S3,53.76,5.24,42.07,436.34,95.94,3.89,0.087,15.89
S3,20.02,1.35,14.82,391.15,76.27,3.32,0.06,7.34
S3,22.18,2.04,28.75,150.68,93.2,2.77,0.039,8.64
S3,26.12,2.92,39.83,305.55,98.78,5.19,0.089,13
S3,19.5,2.91,25.97,216.75,93.67,3.34,0.077,9.54
S4,5.52,5.01,21.72,20.55,80.15,7,0.111,70.81
S4,4.64,3.72,25.46,16.18,88.35,4.91,0.107,54.83
S4,8.65,6.66,58.34,65.22,139.29,94.4,0.23,61.17
S4,2.97,0.99,12.99,17.29,66.11,4.34,0.044,11.33
S4,12.3,7.83,91.25,71.72,150.25,97.4,0.168,76.83
S4,6.56,2.95,18.08,34.19,75.19,4.86,0.162,36.29
S4,15.14,4.32,49.75,36.5,109.02,8.57,0.194,31.75
S4,6.8,4.26,64.19,127.35,109.41,23.34,0.283,34.48
S4,7.4,5.33,66.04,150.3,127.57,21.41,0.26,27.91
S4,5.7,3.97,52.68,113.29,117.39,26.37,0.117,32.79
S5,6.91,13.74,33.97,24.82,94.21,16.3,0.444,56.53
S5,5.08,6.66,11.32,32.36,92.32,9.61,0.14,24.43
S5,9.13,12.82,18.53,42.64,87.03,28.54,0.275,67.96
S5,6.01,8.12,13.65,36.51,77.2,14.91,0.253,45.12
S5,5.98,13.8,15.29,31.47,75.9,22.79,0.227,57.23
S5,5.5,9.95,11.81,23.2,69.33,16.65,0.185,39.6
S5,5.14,4.32,6.79,22.56,73.44,25.39,0.18,46.08
S5,7.79,10.24,13.05,40.57,80.9,27.96,0.219,84.18
S5,6.55,7.33,11.81,39.86,78.11,21.91,0.196,51.26
S5,7.16,5.95,9.98,27.01,76.39,36.69,0.14,68.29
S6,4.22,10.46,10.43,17.15,70.33,11.39,0.116,33.37
S6,5.69,19.79,18.31,24.83,94.83,20.8,0.157,68.09
S6,3.76,5.31,9,34.59,73.68,20.92,0.04,25.98
S6,5.59,17.77,14.75,35.91,92.69,44.39,0.114,58.97
S6,3.19,6.48,7.93,14.91,62.85,10.29,0.061,26.62
S6,5.02,5.25,7.38,21.9,75.02,20.03,0.127,39.89
S6,4.19,8.61,12.99,20.99,76.66,20.84,0.09,49.49
S6,5.92,10.7,15.87,22.5,82.58,44.73,0.104,65.5
S6,3.23,5.89,6.9,19.49,64.78,22.63,0.04,33.97
S6,4.06,2.26,5.78,38.86,67.9,18.91,0.073,27.46
S7,6.78,3.26,8.8,29.98,87.32,4.99,0.245,23.25
S7,7.78,5.2,13.72,48.68,99.74,6.39,0.263,44.14
S7,6.51,4.08,12.08,41.59,99.69,5.59,0.159,37.61
S7,6.56,6.57,12.71,42.87,97.31,5.23,0.206,37.1
S7,5,1.79,10.4,26.8,82.36,4.91,0.191,11.93
S7,7.39,3.49,11.01,28.52,88.79,6.22,0.113,27.69
S7,7.97,3.93,9.3,30.53,82.37,5.82,0.114,21.83
S7,6.64,5.68,15.12,39.55,101.36,7.64,0.218,47.22
S7,7.86,5.6,15.08,48.11,105.9,6.12,0.23,44.44
S7,7.44,4.14,11.66,34.74,88.45,5.11,0.222,24.47
S8,6.99,10.05,19.63,27.39,97.21,8.08,0.24,30.12
S8,6.05,5.52,9.87,26.62,83.2,8.33,0.252,29.8
S8,6.68,4.74,9.07,20.97,76.16,5.34,0.195,19.81
S8,5.23,3.58,6.97,20.29,70.8,5.47,0.151,19.44
S8,5.46,2.59,7.86,44.61,72.44,5.68,0.151,14.6
S8,6.9,4.38,9.99,33.19,77.45,7.74,0.157,24.5
S8,7.25,5.87,11.06,37.91,81.75,8.6,0.191,38.83
S8,6.21,5.42,9.01,32.98,76.25,7.35,0.138,28.95
S8,7.43,5.07,11.77,44.38,83.18,6.71,0.161,26.9
S8,5.92,5.48,10.83,21.45,80.95,5.44,0.148,23.91
S9,34.89,23.05,52.6,146.6,141.99,13.6,0.39,65.89
S9,120.21,11.15,36.7,438.79,143.61,15.19,0.555,73.52
S9,28.37,14.58,41.76,111.33,112.37,7.9,0.612,41.65
S9,53.32,41.29,154.09,263.93,230.66,15.07,0.845,105.07
S9,27.4,18.52,74.69,170.63,142.67,8.81,0.504,61.46
S9,34.23,15.42,49.21,220.41,112.21,13.29,0.41,63.56
S9,88.42,12.62,49.95,665.87,149.95,16.76,0.521,79.82
S9,47.23,24.96,156.84,510.03,258.44,24.26,1.034,100.07
S9,38.27,15.91,95.09,174.25,153.04,8.47,0.737,44.99
S9,41.93,27.16,97.01,233.39,182.32,15.83,0.687,88.25
S10,10.81,10.87,37.36,44.81,102.57,30.18,0.619,63.77
S10,6.94,6.81,8.72,130.94,86.17,15.25,0.35,45.69
S10,6.37,4.14,6.9,138.56,86.02,20.72,0.343,41.66
S10,8.11,4.32,7.9,167.81,90.3,17.97,0.475,34.13
S10,7.13,4.24,9.11,41.7,82.11,18.01,0.223,36.14
S10,5.86,2.35,6.22,66.6,70.78,6.64,0.241,18.99
S10,7.13,5.96,10,47.2,80.94,9,0.408,36.19
S10,6.79,3.78,7.33,61.37,74.12,9.97,0.223,30.72
S10,5.36,2.27,5.22,77.74,71.55,13.05,0.197,29.16
S10,6.5,3.57,9.24,85.11,75.66,12.77,0.338,37.2
S11,11.83,10.13,11.31,56.97,106.87,24.76,0.743,59.69
S11,14.11,12.78,16.31,70.07,118.64,25.96,0.811,86.22
S11,14.78,14.04,11.65,80.19,106.52,23.03,0.557,64.57
S11,13.33,13.02,13.2,92.82,125.46,45.97,0.744,87.27
S11,13.12,13.17,17.99,49.99,128.25,29.85,0.774,73.85
S11,11.43,15.69,14.16,55.8,122.59,24.33,0.586,68.86
S11,12.48,8.98,14.71,77.19,115.34,26.72,0.743,69.37
S11,8.39,10.85,12.14,55.23,108.71,15.7,0.73,42.89
S11,8.49,10.95,10.7,38.43,104.58,19.84,0.63,45.08
S11,14.13,15.19,19.1,52.28,135.83,27.36,1.122,85.51
S12,6.8,3.2,7.91,59.35,91.62,4.53,0.095,81.77
S12,5.43,2.48,5.92,30.59,81.7,3.79,0.073,67.32
S12,4.54,2.79,10.24,29.2,81.19,3.85,0.108,76.48
S12,7.18,3.98,10.71,58.65,92.62,7.74,0.093,112.54
S12,6.96,3.48,9.1,39.56,114.55,7.12,0.061,142.4
S12,6.79,3.68,9.04,53.74,102.51,6.44,0.071,113.68
S12,6.8,6.21,32.64,47.08,106.63,8.22,0.301,129.46
S12,5.53,2.79,5.54,36.31,81.47,5.91,0.038,72.79
S12,5,2.26,10,30.39,78.7,6.76,0.045,71.56
S12,7.29,2.93,7.02,65.5,87.42,6.06,0.047,62.5
S13,4.97,2.44,6.72,15.89,66.06,3.47,0.162,9.73
S13,11.05,10.89,24.88,29.35,70.82,13.96,0.533,30.36
S13,9.04,4.67,9.43,41.49,56.36,13.27,0.891,7.46
S13,5.19,3.73,14.03,15.13,62.21,5,0.299,14.97
S13,7.36,8.06,14.12,25.16,61.38,6.31,0.474,20.2
S13,7.13,8.86,14.56,25.67,61.7,12.77,0.485,24.77
S13,10.01,22.36,50.09,43.59,75.96,13.65,1.295,66.12
S13,4.56,1.91,5.63,15.94,55.26,5,0.053,4.86
S13,4.51,1.68,7.41,17.95,61.33,4.84,0.021,3.77
